id,Predicted score
103743.0,0
560491.0,0
367412.0,0
155153.0,0
61015.0,0
115244.0,0
8405.0,0
63974.0,0
568307.0,0
408739.0,0
201894.0,0
211294.0,0
35313.0,0
192475.0,0
543518.0,0
561561.0,0
191664.0,0
88095.0,0
253565.0,0
517874.0,0
3087.0,0
556768.0,0
581532.0,0
451724.0,0
215076.0,0
167664.0,0
277882.0,0
617813.0,0
343764.0,0
471612.0,0
261628.0,0
83120.0,0
505605.0,0
214300.0,0
136252.0,0
557699.0,0
309935.0,0
631470.0,0
518795.0,0
186147.0,0
510186.0,0
363545.0,0
19799.0,0
71559.0,0
540648.0,0
370223.0,0
396018.0,0
575255.0,0
499567.0,0
560006.0,0
208122.0,0
549001.0,0
432213.0,0
246430.0,0
498258.0,0
364197.0,0
391628.0,0
82553.0,0
115664.0,0
536102.0,0
26752.0,0
131576.0,0
146540.0,0
612092.0,0
125322.0,0
303436.0,0
152169.0,0
15648.0,0
42498.0,0
393269.0,0
185576.0,0
339165.0,0
524716.0,0
439440.0,0
273099.0,0
338918.0,0
5926.0,0
620038.0,0
320851.0,0
598399.0,0
368132.0,0
482649.0,0
396495.0,0
471071.0,0
27587.0,0
484416.0,0
136261.0,0
33893.0,0
89055.0,0
496383.0,0
575607.0,0
31165.0,0
239292.0,0
129617.0,0
624517.0,0
436825.0,0
511040.0,0
511609.0,0
197789.0,0
477438.0,0
860.0,0
638040.0,0
75425.0,0
409795.0,0
65948.0,0
231253.0,0
533517.0,0
257113.0,0
374838.0,0
210547.0,0
19595.0,0
225152.0,0
455890.0,0
576840.0,0
203910.0,0
202835.0,0
74367.0,0
418248.0,0
88523.0,0
112670.0,0
115334.0,0
155091.0,0
375902.0,0
533337.0,0
268687.0,0
21069.0,0
568796.0,0
304924.0,0
301812.0,0
359102.0,0
190089.0,0
309052.0,0
545649.0,0
402251.0,0
493577.0,0
41836.0,0
46406.0,0
179580.0,0
112925.0,0
507415.0,0
593908.0,0
199463.0,0
457302.0,0
123717.0,0
67658.0,0
420764.0,0
253344.0,0
504132.0,0
296966.0,0
42220.0,0
560369.0,0
113698.0,0
89216.0,0
606960.0,0
351672.0,0
321157.0,0
156527.0,0
278186.0,0
269417.0,0
315322.0,0
108364.0,0
622240.0,0
588862.0,0
343763.0,0
67453.0,0
148138.0,0
248031.0,0
52957.0,0
306236.0,0
523705.0,0
245071.0,0
119781.0,0
379599.0,0
514496.0,0
8372.0,0
38778.0,0
455655.0,0
505720.0,0
501456.0,0
437233.0,0
466200.0,0
152754.0,0
442207.0,0
30512.0,0
20632.0,0
147781.0,0
105561.0,0
500217.0,0
306007.0,0
204042.0,0
349796.0,0
529974.0,0
558480.0,0
61235.0,0
359501.0,0
91018.0,0
629603.0,0
162295.0,0
4819.0,0
582288.0,0
522876.0,0
183772.0,0
460918.0,0
22864.0,0
214101.0,0
349290.0,0
271681.0,0
402104.0,0
411745.0,0
254624.0,0
548481.0,0
209014.0,0
321406.0,0
394289.0,0
303728.0,0
46866.0,0
222223.0,0
200420.0,0
114726.0,0
622002.0,0
320871.0,0
453575.0,0
443272.0,0
580436.0,0
435555.0,0
403055.0,0
572293.0,0
296347.0,0
576733.0,0
353072.0,0
38225.0,0
53416.0,0
207260.0,0
514380.0,0
187264.0,0
314953.0,0
391900.0,0
262781.0,0
384227.0,0
628010.0,0
539782.0,0
418396.0,0
632141.0,0
632097.0,0
162978.0,0
254401.0,0
236253.0,0
66217.0,0
419204.0,0
330087.0,0
124804.0,0
11778.0,0
576359.0,0
562670.0,0
252477.0,0
161859.0,0
45756.0,0
617062.0,0
67960.0,0
445481.0,0
510126.0,0
92274.0,0
75504.0,0
123096.0,0
525309.0,0
635298.0,0
12238.0,0
381802.0,0
485664.0,0
327601.0,0
430067.0,0
182666.0,0
588983.0,0
437861.0,0
77987.0,0
612673.0,0
101243.0,0
56760.0,0
150372.0,0
238703.0,0
218353.0,0
449657.0,0
596555.0,0
211588.0,0
244223.0,0
208560.0,0
403774.0,0
325103.0,0
599916.0,0
65079.0,0
469895.0,0
611332.0,0
440214.0,0
137656.0,0
133038.0,0
245364.0,0
381451.0,0
31899.0,0
458200.0,0
589273.0,0
466341.0,0
183519.0,0
114109.0,0
142140.0,0
139943.0,0
318767.0,0
451202.0,0
7138.0,0
172057.0,0
85259.0,0
636683.0,0
599160.0,0
324062.0,0
457209.0,0
5398.0,0
156685.0,0
242528.0,0
400299.0,0
435638.0,0
527348.0,0
554788.0,0
573064.0,0
299405.0,0
263348.0,0
225878.0,0
551263.0,0
265604.0,0
114914.0,0
507364.0,0
365203.0,0
488729.0,0
424299.0,0
546426.0,0
538744.0,0
424719.0,0
141409.0,0
122905.0,0
291473.0,0
500007.0,0
1170.0,0
430365.0,0
551652.0,0
156084.0,0
197536.0,0
348186.0,0
348565.0,0
254179.0,0
89746.0,0
525916.0,0
33458.0,0
618213.0,0
57308.0,0
621445.0,0
256918.0,0
570098.0,0
412987.0,0
589612.0,0
242249.0,0
377318.0,0
18028.0,0
608141.0,0
335332.0,0
385692.0,0
388764.0,0
177111.0,0
286070.0,0
202083.0,0
168911.0,0
146578.0,0
9081.0,0
111551.0,0
134368.0,0
184885.0,0
123530.0,0
340993.0,0
420851.0,0
67066.0,0
601959.0,0
187335.0,0
53366.0,0
